date,app_version,1. How helpful did you find the recommendations from the Disney Genie My Day feature?,2. How many of the recommended experiences from Disney Genie service did you do (regardless of time)?,3. Did you try experiences at the times recommended by Disney Genie service?,4. Did you try any experience for the first time because Disney Genie service recommended it?,"5. Did Disney Genie service recommend the attractions and entertainment that you chose in ""My Top Picks""?",6. How often do you visit a Disney theme park?: I'm a first-time visitor.,6. How often do you visit a Disney theme park?: I visit every now and then.,6. How often do you visit a Disney theme park?: I visit frequently.,6. How often do you visit a Disney theme park?: I'm a Magic Key Pass holder.,os_name,os_version,os_api_level,manufacturer,model,locale_country_code,locale_language_code,carrier,email,name,ADBVisitorID,swid,conversation_id
2022-06-29 00:13:05 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,"Yes, it included some but not all of My Top  Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 13,US,en,<null>|Verizon,,,23817077204609752446996314099557893091,{69F75738-1827-4E99-B757-3818276E9999},62b6acf54a069f186a76578a
2022-06-29 00:14:53 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I did not stick to the times recommended by Disney Genie service at all.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, but it included only one or two of My Top  Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 12 Max,US,en,<null>|T-Mobile,,,45806560306381250688825687335472709811,{1B523E27-48DD-4F25-BF12-DE5694CEAF02},61bcd3feaac5e96bcb031171
2022-06-29 00:15:57 UTC,7.9,I did not use Disney Genie My Day recommendations.,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,"No, I didn't follow any recommendations from Disney Genie service.",I did not use Disney Genie My Day  recommendations.,"",I visit every now and then.,"","",iOS,15.5,,,iPhone 12 Pro,US,en,<null>|Verizon,,,61505000729616528625552118304588526048,{1907C949-562A-44BA-AA86-D67B9BF5403C},62b919391516dd5e8021c2df
2022-06-29 00:18:09 UTC,7.9,Very helpful,I did some of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included some but not all of My Top  Picks.","",I visit every now and then.,"","",iOS,15.2.1,,,iPhone 13,CA,en,<null>|Fido,,,81915390299516922395265637237323767577,{DD68F8CC-9A66-4812-B3E9-FE755F083DF3},62b8d353bc1da069f20b9412
2022-06-29 00:19:44 UTC,7.9,Very helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included some but not all of My Top  Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone X,MX,en,Telcel,,,13467996657564192557441473610886569460,{37494BDF-CBF0-4118-894B-DFCBF03118F8},62b9e2064c27b2696d02f6cb
2022-06-29 00:21:19 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I did not stick to the times recommended by Disney Genie service at all.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 8 Plus,US,en,T-Mobile,,,81746002129479750076639772586031388892,{F6A5DB76-DE1A-469B-A5DB-76DE1A769B54},62b8c8fe1516dd61ac99697e
2022-06-29 00:26:57 UTC,7.9,I did not use Disney Genie My Day recommendations.,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,"Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 11 Pro,US,en,<null>|Verizon,,,65790968792708383928607058611416401528,{F711B216-15A0-4EFA-9B1F-CBC4469613BE},5f78d94839e404032806c857
2022-06-29 00:28:44 UTC,7.9,Not helpful,I didn't follow the recommended experiences at all.,I did not stick to the times recommended by Disney Genie service at all.,"No, I didn't follow any recommendations from Disney Genie service.",I did not use Disney Genie My Day  recommendations.,"","",I visit frequently.,"",iOS,15.5,,,iPhone SE (2nd generation),US,en,<null>|Verizon,,,01291324080114709374894145748775625953,{D4CE0D04-3405-462F-92B7-0ECA92D62C8C},6254dc1dcb108377950b595f
2022-06-29 00:30:01 UTC,7.9,Somewhat helpful,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, but it included only one or two of My Top  Picks.",I'm a first-time visitor.,"","","",iOS,15.5,,,iPhone SE (2nd generation),US,en,<null>|T-Mobile,,,82804827462349128988515218963495076968,{ED5952A8-FEBB-47A0-9952-A8FEBB97A00C},62affcb81516dd74dd2d1d34
2022-06-29 00:30:33 UTC,7.9,Very helpful,I did all or most of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 13 Pro,US,en,<null>|AT&T,,,41014761792785579414242945422861342178,{61078CF9-32B2-4992-8B50-65B9BD5DE3B7},62afb9ce40dd886a09103c77
2022-06-29 00:31:28 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I did not stick to the times recommended by Disney Genie service at all.,"No, I didn't follow any recommendations from Disney Genie service.","Yes, it included some but not all of My Top  Picks.","","",I visit frequently.,I'm a Magic Key Pass holder.,iOS,15.5,,,iPhone 11,US,en,<null>|Verizon,,,21865004271021586684508561650662631289,{4A8148DF-5B21-440C-A58B-63B154E14B15},5e59d182bb26930880733c6f
2022-06-29 00:33:29 UTC,7.9,Somewhat helpful,I did one or two of my recommended experiences.,I did not stick to the times recommended by Disney Genie service at all.,"No, I didn't follow any recommendations from Disney Genie service.","Yes, it included some but not all of My Top  Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 11,US,en,<null>|T-Mobile,,,47277473693668959444668568059994539422,{66759319-BAD3-4969-B436-3B565F72417C},62b121673dcaaf3f3a0f6242
2022-06-29 00:33:49 UTC,7.9,Not helpful,I didn't follow the recommended experiences at all.,I did not stick to the times recommended by Disney Genie service at all.,I did not use Disney Genie My Day recommendations.,"Yes, it included some but not all of My Top  Picks.","","",I visit frequently.,"",iOS,15.5,,,iPhone 12 Pro Max,US,en,<null>|Verizon,,,06549239546352588095573816238756472205,{88CFF891-C186-4951-AF6A-66B5B566BC60},60af097b7531926da013ee80
2022-06-29 00:37:50 UTC,7.9,Somewhat helpful,I did one or two of my recommended experiences.,I occasionally followed the time recommendations.,"No, I didn't follow any recommendations from Disney Genie service.","Yes, it included some but not all of My Top  Picks.","","",I visit frequently.,"",iOS,15.5,,,iPhone 13 Pro Max,US,en,<null>|Verizon,,,29118023255143695247046698274007718278,{35BFDA40-7F89-4886-BB8E-16166827BAA0},62b9b0ff40959a6fe80428c5
2022-06-29 00:39:15 UTC,7.9,Very helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,I did not use Disney Genie My Day recommendations.,"Yes, it included all or most of My Top Picks.","","",I visit frequently.,I'm a Magic Key Pass holder.,iOS,15.5,,,iPhone XS Max,US,en,<null>|T-Mobile,,,57857661939626557551730942299195725655,{890FF19F-E571-4614-AB0B-B71E99FF3C60},5e6d226a54141e7f2e01a20c
2022-06-29 00:42:48 UTC,7.9,Very helpful,I didn't follow the recommended experiences at all.,I occasionally followed the time recommendations.,I did not use Disney Genie My Day recommendations.,"Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone SE (2nd generation),US,en,<null>|Verizon,,,65994177389589134035427392918710615837,{02A1BD8A-6D6F-4221-AC64-CAA096298C62},627fea44eff849388326a8b8
2022-06-29 00:43:05 UTC,7.9,I did not use Disney Genie My Day recommendations.,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,"Yes, it included some but not all of My Top  Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 11,US,en,<null>|AT&T,,,45251114249401110001693499560770531386,{3ACF0CCB-E368-47FD-A054-D06B4785B431},5ed1087d535e9f016800b5de
2022-06-29 00:44:29 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.",I'm a first-time visitor.,"","","",iOS,15.5,,,iPhone 12 Pro Max,US,en,<null>|AT&T,,,69515039491321552648005798008012767896,{09CDEE2F-ADED-47D5-8CEF-1D83C5480790},62b9da7e20305d307015f69a
